Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,0,0,2,0,0,130,10.0,0
3,1,1,3,2,0,270,9.0,2
3,1,1,2,1,0,38,9.0,1
3,1,1,2,2,0,160,5.0,2
3,0,2,2,1,0,142,3.0,1
3,2,1,2,2,0,45,6.0,2
2,2,1,2,2,0,70,10.0,2
2,1,1,2,1,0,82,6.0,1
2,1,1,2,2,0,37,4.0,2
2,0,1,2,1,0,67,7.0,1
2,0,1,2,2,0,190,6.0,2
3,0,2,2,1,0,45,6.0,1
3,0,1,3,2,0,135,4.0,2
3,0,1,2,1,0,55,2.0,1
3,1,0,2,2,0,105,7.0,2
3,0,1,2,1,0,47,10.0,1
3,0,1,2,3,0,50,9.0,3
3,0,1,3,0,0,225,6.0,0
3,1,1,3,0,0,275,9.0,0
3,2,2,3,2,0,375,8.0,2
3,2,1,3,12,0,195,6.0,12
2,0,1,2,2,0,56,8.0,2
2,0,2,2,0,0,70,10.0,0
3,0,2,3,10,0,540,6.0,10
3,0,2,2,1,0,60,10.0,1
3,0,1,4,20,0,499,4.0,20
3,0,2,3,2,0,375,7.0,2
2,0,1,2,1,0,80,5.0,1
2,1,1,2,2,0,90,9.0,2
3,1,1,2,2,0,60,8.0,2
3,1,1,2,0,0,125,10.0,0
3,1,1,2,2,0,65,9.0,2
3,1,2,3,2,0,250,8.0,2
3,1,1,2,3,0,250,8.0,3
2,1,1,2,3,0,46,7.0,3
2,0,1,2,1,0,39,8.0,1
2,1,2,2,0,0,200,6.0,0
2,1,1,2,1,0,60,6.0,1
3,1,0,3,3,0,409,6.0,3
3,1,1,3,3,0,75,9.0,3
2,1,1,2,7,0,250,6.0,7
3,0,1,3,3,0,125,5.0,3
3,2,1,3,3,0,105,4.0,3
3,2,1,2,0,0,54,8.0,0
2,1,1,2,1,0,120,9.0,1
3,1,1,2,1,0,100,8.0,4
3,0,1,2,1,0,45,3.0,1
2,0,2,2,2,0,36,10.0,2
2,0,2,2,0,0,98,3.0,0
2,0,2,2,4,0,20,10.0,4
3,0,1,3,0,0,80,10.0,0
3,4,1,3,0,0,190,4.0,0
2,0,1,2,1,0,40,1.0,1
3,2,2,3,4,0,229,7.0,4
3,1,1,2,3,0,40,5.0,3
3,0,2,2,2,0,45,9.0,2
2,0,2,2,1,0,92,10.0,1
2,0,2,2,0,0,52,4.0,0
2,0,1,2,1,0,20,8.0,4
2,0,0,2,1,0,160,5.0,1
2,0,2,2,0,0,30,10.0,0
3,0,0,2,1,0,70,7.0,1
2,0,2,2,0,0,90,5.0,0
3,0,1,2,1,0,40,5.0,1
3,0,1,2,7,0,145,6.0,7
2,0,2,2,3,0,18,10.0,3
3,1,1,2,3,0,150,9.0,3
2,0,2,2,2,0,59,3.0,2
3,1,1,3,0,0,190,4.0,0
2,0,1,2,-1,0,110,8.0,-1
2,0,1,2,1,0,34,7.0,1
3,1,1,2,2,0,125,5.0,2
3,1,1,2,0,0,75,9.0,0
2,0,1,2,1,0,54,8.0,1
3,2,2,3,2,0,110,8.0,2
3,2,1,3,0,0,450,5.0,0
3,1,1,2,1,0,121,8.0,1
3,3,1,2,3,0,60,9.0,3
2,1,1,2,2,0,27,7.0,2
2,0,1,2,3,0,48,8.0,3
2,0,2,2,1,0,36,9.0,1
2,0,2,2,4,0,58,3.0,4
2,0,1,2,4,0,25,9.0,4
2,1,1,2,1,0,36,4.0,4
3,2,0,3,15,0,200,2.0,15
3,0,0,2,1,0,48,6.0,4
3,2,1,2,1,0,85,7.0,1
2,0,2,2,1,1,449,5.0,4
3,0,2,3,1,0,325,9.0,4
3,2,1,3,1,0,325,9.0,4
2,1,1,2,1,1,33,4.0,4
2,1,1,2,1,0,30,9.0,1
3,1,1,3,1,0,425,9.0,1
3,2,1,2,2,0,145,3.0,2
3,2,1,2,1,0,80,7.0,1
