urls,url,Bedrooms,Bathrooms,Super area,Developer,Project,Status,Possession by,Transaction type,Car parking,Price Breakup,Unnamed: 12,Address,RERA ID,Water Availability,Status of Electricity,Lift,Furnishing,Loan Offered by,Amenities,Flooring,Floors allowed for construction,Furnished status,Carpet area,Loading,Floor,Car Parking,Bathroom,Facilities,Puja Room,Balconies,Landmarks,Facing,Overlooking,Age of Construction,Authority Approval,Type of Ownership,Brokerage Response,Units Available,Balcony,Lifts,Servant Room,Store Room,Plot area,Study Room,Unnamed: 46,Unnamed: 47,
,https://www.magicbricks.com/propertyDetails/2-BHK-890-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-Extension-in-Jaipur&id=4d423630323932303533,2 See Dimensions,2.0,890 sqft,Manglam Build Developers Ltd.,Manglam Tarang,Ready to Move,,"New Property
Free Legal Title Check",None,"₹ 32.5 Lac ₹ 1,780 Monthly",,"Mansarovar Extension, Jaipur, Rajasthan",RAJ/P/2017/050,24 Hours Available,No/Rare Powercut,4,Furnished,,"Aesthetically designed landscape garden
Swimming Pool
Rain Water Harvesting
Security
Lift
Club House",Vitrified,12.0,,,,1 (Out of 12 Floors),,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1877-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423630353034393935,3,4.0,,Samanvay Group,Atlantica,Under Construction,Dec '24,"New Property
Free Legal Title Check",None,₹ 72.3 Lac,,"Vaishali Nagar, Jaipur, Rajasthan",RAJ/P/2022/1838,24 Hours Available,No/Rare Powercut,5,Semi-Furnished,,"Multipurpose Hall
Visitor Parking
Conference Room
Waste Disposal
Rain Water Harvesting
Service/Goods Lift
View all Amenities",Vitrified,,,1235 sqft,34%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-617-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423537373538363639,2,2.0,617 sqft,Elegant Build Developers LLP,Vaishali Utsav,Ready to Move,,"New Property
Free Legal Title Check",1 Covered,₹ 19.0 Lac ₹ 2 Per sq. Unit Monthly,,"Vaishali Nagar, Jaipur, Rajasthan",RAJ/P/2017/431,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Reserved Parking
Power Back Up
Visitor Parking
CCTV Camera
Rain Water Harvesting
Park
View all Amenities","Vitrified, Ceramic Tiles",,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-2877-Sq-ft-Multistorey-Apartment-FOR-Sale-Jawahar-Lal-Nehru-Marg-in-Jaipur&id=4d423538323537323637,3,3.0,2877 sqft,Suncity Projects Pvt. Ltd.,Jewel of India,Under Construction,Mar '26,"New Property
Free Legal Title Check",1 Covered,₹ 2.87 Cr,,"Jawahar Lal Nehru Marg, Jaipur, Rajasthan",RAJ/P/2021/1712,24 Hours Available,No/Rare Powercut,2,Furnished,,"Jogging and Strolling Track
Visitor Parking
Rain Water Harvesting
Water Storage
Gymnasium
Indoor Games Room
View all Amenities",,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-879-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423630373631323637,2,2.0,,Auric Infraprojects Ltd.,The Century Park,,,"New Property
Free Legal Title Check",1 Covered,₹ 26.5 Lac,,"Ajmer Road Jaipur - 303007, Ajmer Road, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,1,Unfurnished,,"Reserved Parking
Power Back Up
Earth quake resistant
Jogging and Strolling Track
Waste Disposal
Park
View all Amenities","Ceramic Tiles, Vitrified, Wooden",,Unfurnished,879 sqft,,Ground (Out of 10 Floors),,,"Power Back Up, Lift, Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security, Water Storage, Maintenance Staff, Waste Disposal, Internet/Wi-Fi Connectivity, Jogging and Strolling Track",,2.0,Ajmer Road,"North
Talk to our best Vastu Consultants to get instant solution. View Consultants","Garden/Park, Pool, Main Road",Under Construction,Rajasthan Housing Board,Freehold,Brokers please do not contact,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1548-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423630313934383137,3 See Dimensions,2.0,,Samanvay Group,Atlantica,,,"New Property
Free Legal Title Check",1 Covered,"₹ 59.6 Lac
See Other Charges",,"Vaishali Nagar, Jaipur, Vaishali Nagar, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,4,Semi-Furnished,,"Multipurpose Hall
Visitor Parking
Conference Room
Waste Disposal
Rain Water Harvesting
Service/Goods Lift
View all Amenities",Vitrified,,Semi-Furnished,1001 sqft,35%,4 (Out of 14 Floors),,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage, Vaastu Compliant, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Internet/Wi-Fi Connectivity, DTH Television Facility, Banquet Hall, Cafeteria/Food Court, Conference Room, Piped Gas, Jogging and Strolling Track, Concierge Services, Theme based Architectures",,4.0,gandhi path,"East
Talk to our best Vastu Consultants to get instant solution. View Consultants",Main Road,Under Construction,Jaipur Development Authority,Freehold,,14.0,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1174-Sq-ft-Multistorey-Apartment-FOR-Sale-Nehrunagar-in-Jaipur&id=4d423630313835313431,2,2.0,1174 sqft,,,Ready to Move,,"Resale
Free Legal Title Check",None,"₹ 17.0 Lac
See Other Charges",,"G-3., Nehrunagar, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,,Unfurnished,,,Ceramic Tiles,,Unfurnished,,,Ground (Out of 5 Floors),,,,,,,North - West,,5 to 10 years,Jaipur Development Authority,Freehold,Brokers please do not contact,1.0,1.0,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1814-Sq-ft-Multistorey-Apartment-FOR-Sale-Swej-Farm-in-Jaipur&id=4d423539373635383531,3 See Dimensions,3.0,,,,,,"New Property
Free Legal Title Check",1 Covered,"₹ 1.10 Cr ₹ 2 Per sq. Unit Monthly
See Other Charges",,"Swej farm, Jaipur, Swej Farm, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,2,Semi-Furnished,,,Vitrified,,Semi-Furnished,1250 sqft,31%,3 (Out of 6 Floors),,,"Lift, Club House, Gymnasium, Reserved Parking, Security, Water Storage, Private Terrace/Garden, Vaastu Compliant, Visitor Parking, Intercom Facility, Waste Disposal",,4.0,Near Big bazar,East,Main Road,Under Construction,Jaipur Development Authority,Freehold,,6.0,,2,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1150-Sq-ft-Multistorey-Apartment-FOR-Sale-Bapu-Nagar-in-Jaipur&id=4d423538353730393439,2,2.0,,,,,,"New Property
Free Legal Title Check",None,"₹ 92.0 Lac
See Other Charges",,"D 152 savitri path, Bapu Nagar, Jaipur, Rajasthan",,,,,Semi-Furnished,,,,,Semi-Furnished,862 sqft,25%,3 (Out of 5 Floors),,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Security, Vaastu Compliant, Intercom Facility, Maintenance Staff, Waste Disposal, Internet/Wi-Fi Connectivity, RO Water System, Piped Gas",1.0,,,West,Main Road,Under Construction,,Freehold,,,1.0,,1.0,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1090-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahal-Road-in-Jaipur&id=4d423539373130363037,2 See Dimensions,2.0,,,,Ready to Move,,"New Property
Free Legal Title Check",1 Open,"₹ 31.6 Lac ₹ 2,530 Monthly
See Other Charges",,"Jagatpura, mehal road., Mahal Road, Jaipur, Rajasthan",RAJ/P/2021/1593,24 Hours Available,No/Rare Powercut,2,Semi-Furnished,2 more,,"Marbonite, Mosaic, Normal Tiles/Kotah Stone, Vitrified, Wooden",,Semi-Furnished,689 sqft,36%,1 (Out of 10 Floors),,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking, Security, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Internet/Wi-Fi Connectivity, DTH Television Facility, Full Glass Wall",,2.0,Mahel Road,South,"Garden/Park, Main Road",New Construction,Jaipur Development Authority,Freehold,,6.0,,2,,,,,,,
