Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,2,Semi-Furnished,3,1,Ready to Move,390,6.0,1
2,1,Semi-Furnished,2,4,Ready to Move,35,9.0,4
3,0,Unfurnished,3,2,Ready to Move,175,4.0,2
3,2,Semi-Furnished,3,1,Ready to Move,375,9.0,1
3,3,Semi-Furnished,3,2,Ready to Move,250,4.0,2
3,1,Semi-Furnished,2,1,Ready to Move,65,8.0,1
3,2,Semi-Furnished,3,1,Ready to Move,95,7.0,1
3,2,Semi-Furnished,3,8,Ready to Move,220,6.0,8
3,2,Semi-Furnished,3,8,Ready to Move,182,3.0,8
3,0,Unfurnished,3,4,Ready to Move,158,3.0,4
3,0,Semi-Furnished,2,1,Ready to Move,50,9.0,1
2,3,Unfurnished,3,1,Ready to Move,80,5.0,1
3,0,Semi-Furnished,4,4,Ready to Move,350,9.0,4
2,1,Semi-Furnished,2,1,Ready to Move,42,7.0,1
3,2,Unfurnished,3,0,Ready to Move,180,3.0,0
2,2,Semi-Furnished,2,4,Ready to Move,112,3.0,4
2,0,Semi-Furnished,2,1,Ready to Move,38,9.0,1
3,2,Semi-Furnished,4,1,Ready to Move,800,6.0,1
3,0,Semi-Furnished,3,0,Ready to Move,235,5.0,0
3,1,Furnished,2,3,Ready to Move,95,8.0,3
3,1,Furnished,3,1,Ready to Move,260,5.0,1
2,2,Semi-Furnished,2,1,Ready to Move,110,4.0,1
3,0,Unfurnished,3,3,Ready to Move,390,7.0,3
3,2,Furnished,3,2,Ready to Move,144,4.0,2
3,0,Semi-Furnished,2,4,Ready to Move,40,8.0,4
3,2,Unfurnished,4,3,Ready to Move,750,10.0,3
2,1,Semi-Furnished,2,1,Ready to Move,87,8.0,1
3,4,Unfurnished,4,1,Ready to Move,400,9.0,1
3,2,Semi-Furnished,3,3,Ready to Move,350,4.0,3
3,1,Semi-Furnished,2,1,Ready to Move,72,8.0,1
3,1,Semi-Furnished,2,0,Ready to Move,58,6.0,0
2,2,Semi-Furnished,2,3,Ready to Move,125,3.0,3
2,0,Unfurnished,2,1,Ready to Move,29,8.0,1
3,1,Furnished,3,8,Ready to Move,179,3.0,8
3,2,Semi-Furnished,2,5,Ready to Move,185,3.0,5
2,1,Semi-Furnished,2,3,Ready to Move,47,7.0,3
3,2,Semi-Furnished,3,1,Ready to Move,285,5.0,4
3,1,Semi-Furnished,3,1,Ready to Move,160,10.0,1
3,2,Semi-Furnished,3,3,Ready to Move,225,6.0,3
2,0,Semi-Furnished,2,4,Ready to Move,20,10.0,4
3,0,Semi-Furnished,3,1,Ready to Move,300,7.0,1
2,1,Semi-Furnished,2,1,Ready to Move,36,6.0,1
3,2,Unfurnished,2,1,Ready to Move,136,3.0,1
2,1,Unfurnished,2,1,Ready to Move,23,9.0,1
2,0,Semi-Furnished,2,1,Ready to Move,32,6.0,1
2,1,Semi-Furnished,2,3,Ready to Move,60,5.0,3
3,3,Semi-Furnished,2,4,Ready to Move,220,9.0,4
3,2,Semi-Furnished,2,2,Ready to Move,176,5.0,2
3,2,Furnished,2,6,Ready to Move,167,5.0,6
2,0,Unfurnished,2,2,Ready to Move,38,4.0,2
3,1,Semi-Furnished,3,1,Ready to Move,75,6.0,1
2,0,Semi-Furnished,2,3,Ready to Move,70,5.0,3
2,0,Unfurnished,2,1,Ready to Move,150,7.0,1
3,0,Semi-Furnished,3,1,Ready to Move,240,6.0,1
3,1,Semi-Furnished,3,1,Ready to Move,60,7.0,1
3,0,Furnished,2,1,Ready to Move,68,9.0,1
3,0,Semi-Furnished,2,3,Ready to Move,52,10.0,3
3,1,Semi-Furnished,2,9,Ready to Move,204,6.0,9
3,1,Semi-Furnished,3,3,Ready to Move,300,9.0,3
3,0,Semi-Furnished,2,0,Ready to Move,65,10.0,0
3,0,Semi-Furnished,2,2,Ready to Move,72,7.0,2
3,1,Semi-Furnished,3,2,Ready to Move,360,8.0,2
3,0,Furnished,2,0,Ready to Move,130,10.0,0
3,1,Semi-Furnished,3,2,Ready to Move,270,9.0,2
3,1,Semi-Furnished,2,1,Ready to Move,38,9.0,1
3,1,Semi-Furnished,2,2,Ready to Move,160,5.0,2
3,0,Unfurnished,2,1,Ready to Move,142,3.0,1
3,2,Semi-Furnished,2,2,Ready to Move,45,6.0,2
2,2,Semi-Furnished,2,2,Ready to Move,70,10.0,2
2,1,Semi-Furnished,2,1,Ready to Move,82,6.0,1
2,1,Semi-Furnished,2,2,Ready to Move,37,4.0,2
2,0,Semi-Furnished,2,1,Ready to Move,67,7.0,1
2,0,Semi-Furnished,2,2,Ready to Move,190,6.0,2
3,0,Unfurnished,2,1,Ready to Move,45,6.0,1
3,0,Semi-Furnished,3,2,Ready to Move,135,4.0,2
3,0,Semi-Furnished,2,1,Ready to Move,55,2.0,1
3,1,Furnished,2,2,Ready to Move,105,7.0,2
3,0,Semi-Furnished,2,1,Ready to Move,47,10.0,1
3,0,Semi-Furnished,2,3,Ready to Move,50,9.0,3
3,0,Semi-Furnished,3,0,Ready to Move,225,6.0,0
3,1,Semi-Furnished,3,0,Ready to Move,275,9.0,0
3,2,Unfurnished,3,2,Ready to Move,375,8.0,2
3,2,Semi-Furnished,3,12,Ready to Move,195,6.0,12
2,0,Semi-Furnished,2,2,Ready to Move,56,8.0,2
2,0,Unfurnished,2,0,Ready to Move,70,10.0,0
3,0,Unfurnished,3,10,Ready to Move,540,6.0,10
3,0,Unfurnished,2,1,Ready to Move,60,10.0,1
3,0,Semi-Furnished,4,20,Ready to Move,499,4.0,20
3,0,Unfurnished,3,2,Ready to Move,375,7.0,2
2,0,Semi-Furnished,2,1,Ready to Move,80,5.0,1
2,1,Semi-Furnished,2,2,Ready to Move,90,9.0,2
3,1,Semi-Furnished,2,2,Ready to Move,60,8.0,2
3,1,Semi-Furnished,2,0,Ready to Move,125,10.0,0
3,1,Semi-Furnished,2,2,Ready to Move,65,9.0,2
3,1,Unfurnished,3,2,Ready to Move,250,8.0,2
3,1,Semi-Furnished,2,3,Ready to Move,250,8.0,3
2,1,Semi-Furnished,2,3,Ready to Move,46,7.0,3
2,0,Semi-Furnished,2,1,Ready to Move,39,8.0,1
2,1,Unfurnished,2,0,Ready to Move,200,6.0,0
2,1,Semi-Furnished,2,1,Ready to Move,60,6.0,1
3,1,Furnished,3,3,Ready to Move,409,6.0,3
3,1,Semi-Furnished,3,3,Ready to Move,75,9.0,3
2,1,Semi-Furnished,2,7,Ready to Move,250,6.0,7
3,0,Semi-Furnished,3,3,Ready to Move,125,5.0,3
3,2,Semi-Furnished,3,3,Ready to Move,105,4.0,3
3,2,Semi-Furnished,2,0,Ready to Move,54,8.0,0
2,1,Semi-Furnished,2,1,Ready to Move,120,9.0,1
3,1,Semi-Furnished,2,1,Ready to Move,100,8.0,4
3,0,Semi-Furnished,2,1,Ready to Move,45,3.0,1
2,0,Unfurnished,2,2,Ready to Move,36,10.0,2
2,0,Unfurnished,2,0,Ready to Move,98,3.0,0
2,0,Unfurnished,2,4,Ready to Move,20,10.0,4
3,0,Semi-Furnished,3,0,Ready to Move,80,10.0,0
3,4,Semi-Furnished,3,0,Ready to Move,190,4.0,0
2,0,Semi-Furnished,2,1,Ready to Move,40,1.0,1
3,2,Unfurnished,3,4,Ready to Move,229,7.0,4
3,1,Semi-Furnished,2,3,Ready to Move,40,5.0,3
3,0,Unfurnished,2,2,Ready to Move,45,9.0,2
2,0,Unfurnished,2,1,Ready to Move,92,10.0,1
2,0,Unfurnished,2,0,Ready to Move,52,4.0,0
2,0,Semi-Furnished,2,1,Ready to Move,20,8.0,4
2,0,Furnished,2,1,Ready to Move,160,5.0,1
2,0,Unfurnished,2,0,Ready to Move,30,10.0,0
3,0,Furnished,2,1,Ready to Move,70,7.0,1
2,0,Unfurnished,2,0,Ready to Move,90,5.0,0
3,0,Semi-Furnished,2,1,Ready to Move,40,5.0,1
3,0,Semi-Furnished,2,7,Ready to Move,145,6.0,7
2,0,Unfurnished,2,3,Ready to Move,18,10.0,3
3,1,Semi-Furnished,2,3,Ready to Move,150,9.0,3
2,0,Unfurnished,2,2,Ready to Move,59,3.0,2
3,1,Semi-Furnished,3,0,Ready to Move,190,4.0,0
2,0,Semi-Furnished,2,-1,Ready to Move,110,8.0,-1
2,0,Semi-Furnished,2,1,Ready to Move,34,7.0,1
3,1,Semi-Furnished,2,2,Ready to Move,125,5.0,2
3,1,Semi-Furnished,2,0,Ready to Move,75,9.0,0
2,0,Semi-Furnished,2,1,Ready to Move,54,8.0,1
3,2,Unfurnished,3,2,Ready to Move,110,8.0,2
3,2,Semi-Furnished,3,0,Ready to Move,450,5.0,0
3,1,Semi-Furnished,2,1,Ready to Move,121,8.0,1
3,3,Semi-Furnished,2,3,Ready to Move,60,9.0,3
2,1,Semi-Furnished,2,2,Ready to Move,27,7.0,2
2,0,Semi-Furnished,2,3,Ready to Move,48,8.0,3
